accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_015231885.1,bac120,Bacteria,SAR324,SAR324,SAR324,GCA-2753255,GCA-2753255,GCA-2753255 sp002753255
GB_GCA_007132905.1,bac120,Bacteria,SLNR01,SLNR01,SLNR01,SLNR01,SLNR01,SLNR01 sp007132905
GB_GCA_003644825.1,bac120,Bacteria,SM23-31,SM23-31,B21-G16,B21-G16,B21-G16,B21-G16 sp003644825
GB_GCA_001304035.1,bac120,Bacteria,SM23-31,SM23-31,SM23-31,SM23-31,SM23-31,SM23-31 sp001304035
GB_GCA_016235675.1,bac120,Bacteria,SZUA-182,SZUA-182,SZUA-182,SZUA-182,JACRJN01,JACRJN01 sp016235675
GB_GCA_003230635.1,bac120,Bacteria,SZUA-182,SZUA-182,SZUA-182,SZUA-182,SZUA-182,SZUA-182 sp003230635
GB_GCA_011358715.1,bac120,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,SZUA-79,Acidulodesulfobacterium,Acidulodesulfobacterium sp011358715
GB_GCA_003232385.1,bac120,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,SZUA-79,Acidulodesulfobacterium,Acidulodesulfobacterium sp003232385
GB_GCA_001790855.1,bac120,Bacteria,Schekmanbacteria,GWA2-38-11,GWA2-38-11,GWA2-38-11,2-02-FULL-38-14-A,2-02-FULL-38-14-A sp001790855
GB_GCA_003695725.1,bac120,Bacteria,Schekmanbacteria,GWA2-38-11,GWA2-38-11,J061,J061,J061 sp003695725
GB_GCA_018221025.1,ar53,Archaea,SpSt-1190,SpSt-1190,SpSt-1190,SpSt-1190,JAAOXX01,JAAOXX01 sp018221025
GB_GCA_018220935.1,ar53,Archaea,SpSt-1190,SpSt-1190,SpSt-1190,SpSt-1190,JAAOXX01,JAAOXX01 sp018220935
GB_GCA_011047235.1,bac120,Bacteria,SpSt-318,SpSt-318,SpSt-318,SpSt-318,SpSt-318,SpSt-318 sp011047235
RS_GCF_004343725.1,bac120,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Termitinemataceae,J25,J25 sp004343725
GB_GCA_017694495.1,bac120,Bacteria,Spirochaetota,Spirochaetia,Sphaerochaetales,Sphaerochaetaceae,Bullifex,Bullifex pullistercoris
GB_GCA_007118855.1,bac120,Bacteria,Spirochaetota,Spirochaetia,DSM-27196,SLST01,SLST01,SLST01 sp007118855
GB_GCA_002068205.1,bac120,Bacteria,Sumerlaeota,Sumerlaeia,MVZB01,MVZB01,MVZB01,MVZB01 sp002068205
GB_GCA_007132505.1,bac120,Bacteria,Sumerlaeota,Sumerlaeia,SLMS01,SLMS01,SLMS01,SLMS01 sp007132505
GB_GCA_017470485.1,bac120,Bacteria,Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Fretibacterium,Fretibacterium sp017470485
GB_GCA_905233525.1,bac120,Bacteria,Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Fretibacterium,Fretibacterium sp905233525
GB_GCA_003554345.1,bac120,Bacteria,T1SED10-198M,T1SED10-198M,T1SED10-198M,T1SED10-198M,T1SED10-198M,T1SED10-198M sp003554345
GB_GCA_003557545.1,bac120,Bacteria,T1Sed10-126,T1Sed10-126,T1Sed10-126,T1Sed10-126,PWOD01,PWOD01 sp003557545
GB_GCA_003554945.1,bac120,Bacteria,T1Sed10-126,T1Sed10-126,T1Sed10-126,T1Sed10-126,T1Sed10-126,T1Sed10-126 sp003554945
GB_GCA_004376575.1,bac120,Bacteria,TA06,DG-26,E44-bin18,E44-bin18,E44-bin18,E44-bin18 sp004376575
